es,fr
manzana,pomme
naranja,orange
zanahoria,carotte
pez,poisson
plátano,banane
queso,fromage
dulce,bonbon
pan,pain
pimienta,poivre
sal,sel
azúcar,sucre
puerco,porc
pollo,poulet
pastel,gâteau
aceite,huile
buey,boeuf
limón,citron
chocolate,chocolat
mermelada,confiture
jugo,jus
vino,vin
leche,lait
cerveza,bière
arroz,riz
agua,eau
